"dim_operators";"dim_operations_date";"dim_run";"dim_route";"dim_service";"dim_direction";"dim_boardingstop";"dim_alightingstop";"measure_triplength";"measure_passengers";"measure_dailypassengersbyroute"
"Veolia Transport Brisbane";"18-JAN-13";"250";"250";"1780";"Outbound";"Capalaba Bus Station stop D ";"Middle Street Stop B ";"20.35";"2";"2094"
"Brisbane Transport";"16-JAN-13";"1621";"60";"6885";"Outbound";"City Hall (Adelaide St opp City Hall Stop 43) ";"Cordeaux Street - 14 ";"11.9833";"1";"7092"
"Brisbane Transport";"15-JAN-13";"5206";"100";"7990";"Outbound";"";" platform 2 ";"27.7667";"80";"3370"
"Brisbane Transport";"22-JAN-13";"5303";"100";"7990";"Outbound";"";" platform 2 ";"26.85";"80";"3076"
"Brisbane Transport";"13-JAN-13";"1423";"199";"5085";"Inbound";"Adelaide St at Anzac Sq (Stop 26) ";"Merthyr Central - 11 ";"8.05";"1";"3470"
"Brisbane Transport";"15-JAN-13";"9350";"196";"6573";"Outbound";"Brunswick St @ Ann St (Stop 210) ";"";"19.5";"32360";"4904"
"Brisbane Transport";"06-JAN-13";"6202";"345";"7654";"Outbound";"";" platform 1 ";"28.3";"1280";"1982"
"Surfside Buslines";"06-JAN-13";"751";"751";"4393";"Outbound";"Robina Station Stop C ";"Robina Town Centre ";"4.95";"1";"122"
"Brisbane Transport";"03-JAN-13";"6315";"335";"7562";"Outbound";"Queen St app Adelaide St (Stop 66) ";"Wilston Village"" Kedron Brook Road ";"16.8333";"1";"673"
"Brisbane Transport";"10-JAN-13";"6037";"345";"5631";"Inbound";"Horn Road"" Maundrell Terrace ";"Newmarket"" - 20 ";"17.0167";"1";"3534"
"Brisbane Transport";"12-JAN-13";"3122";"220";"7938";"Outbound";"Queen Street Bus Station - Platform A2 ";"Cannon Hill Shopping Centre - Zone D ";"34.4833";"2";"457"
"Brisbane Transport";"03-JAN-13";"6031";"346";"7858";"Inbound";"Wilston Village"" Kedron Brook Road ";"Ann Street F/S Orient Hotel (Stop 5) ";"16.7667";"1";"201"
"Brisbane Transport";"04-JAN-13";"6218";"345";"7654";"Outbound";"King George Square Station 1C ";"Stafford North"" Appleby Road ";"21.9333";"1";"3100"
"Brisbane Transport";"17-JAN-13";"1607";"60";"6183";"Inbound";"Cordeaux Street - 30/14 ";"Adelaide St @ City Hall frnt (Stop 20) ";"12.7167";"3";"7012"
"Sunbus";"17-JAN-13";"620";"620";"42737";"Inbound";"David Low Wy F/S Vernon Street ";"Coolum Beach ";"18.55";"1";"1019"
"Veolia Transport Brisbane";"08-JAN-13";"250";"250";"1780";"Outbound";"Elizabeth Street Stop 85 ";"Victoria Point Stop C ";"93.5333";"1";"1661"
"Brisbane Transport";"03-JAN-13";"6328";"322";"6699";"Inbound";"Rode Road - 41 ";"Sandgate Road - 1 ";"3.53333";"2";"660"
"Brisbane Transport";"19-JAN-13";"6119";"345";"5631";"Inbound";"Horn Road"" Maundrell Terrace ";"King George Square Station 2A ";"23.0667";"1";"2776"
"Brisbane Transport";"10-JAN-13";"1008";"379";"7833";"Outbound";"West Ashgrove"" Waterworks Road ";"Laird Street - 25C ";"2.25";"2";"1519"
"Brisbane Transport";"17-JAN-13";"1622";"60";"6885";"Outbound";"City Hall (Adelaide St opp City Hall Stop 43) ";"Cordeaux Street - 14 ";"12.25";"1";"7012"
"Brisbane Transport";"04-JAN-13";"6031";"346";"7858";"Inbound";"Wilston Village"" Kedron Brook Road ";"Ann Street F/S Orient Hotel (Stop 5) ";"14.9";"1";"230"
"Brisbane Transport";"10-JAN-13";"1625";"60";"6885";"Outbound";"City Hall (Adelaide St opp City Hall Stop 43) ";"Cordeaux Street - 14 ";"18.0667";"1";"6655"
"BCC Ferries";"17-JAN-13";"2";"2";"395";"Outbound";"Regatta Ferry Terminal ";"North Quay 2 Ferry Terminal ";"7.7";"1";"4558"
"Brisbane Transport";"02-JAN-13";"6042";"335";"7852";"Inbound";"Wilston Village"" Kedron Brook Road ";"Ann St app Wharf St (Stop 6) ";"11.7333";"1";"476"
"Brisbane Transport";"07-JAN-13";"3315";"P208";"7947";"Outbound";"Edward St app Mary St (Stop 145) ";"Greens Road - 39 ";"26.2833";"1";"223"
"Sunbus";"17-JAN-13";"620";"620";"20121";"Outbound";"Wilkinson Park ";"David Low Wy Opp F/S Vernon Street ";"14.55";"1";"1019"
"Brisbane Transport";"02-JAN-13";"6315";"335";"7562";"Outbound";"Queen St app Adelaide St (Stop 66) ";"Wilston Village"" Kedron Brook Road ";"14.9167";"1";"476"
"Brisbane Transport";"19-JAN-13";"1202";"345";"7654";"Outbound";"King George Square Station 1C ";"Horn Road"" Maundrell Terrace ";"25.4333";"1";"2776"
"Brisbane Transport";"12-JAN-13";"2010";"381";"5247";"Inbound";"West Ashgrove"" Glory Street ";"Roma St app Rlwy Stn (r) (Stop 124) ";"14.5";"1";"483"
"Brisbane Transport";"16-JAN-13";"3401";"232";"7416";"Outbound";"Bulimba Ferry - 33 ";"Colmslie - 53 ";"13.0167";"2";"668"
"Brisbane Transport";"17-JAN-13";"6056";"345";"5631";"Inbound";"Horn Road"" Maundrell Terrace ";"Cultural Centre Terminating  Services) ";"31.5333";"1";"3740"
